Chapter Name,Lesson Name,Correct Lesson Content,
1.10 Breastmilk and Formula,Selecting the Correct Formula,"<p><br></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">The formula industry is very tightly regulated. This means that formula content does not differ greatly between different brands.&nbsp;</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">Some brands prioritise sourcing organic ingredients, others focus on locally-sourcing. Some are cow-milk based, others soy, rice or other animal-based. Some are partially or extensively hydrolysed, meaning the proteins are partly broken down before feeding, allowing for easier digestion in babies with gut intolerances. This should be guided by a doctor.&nbsp;</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">The important considerations when selecting the correct formula is monitoring your baby’s response (in their poo, their skin, their temperament and their weight gain) and making sure not to adjust brands too frequently, before your baby has had a chance to adjust to the new food source.</span></p><p style=""line-height: 1.375rem;text-align: left""><br></p><div class=""se-component se-image-container __se__float- __se__float-none""><figure><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/a8d/dd7/ed2/Dr_Golly_Templates_%284%29.png"" alt="""" data-proportion=""true"" data-align="""" data-file-name=""Dr_Golly_Templates_%284%29.png"" data-file-size=""0"" data-origin=""auto,auto"" data-size=""531px,531px"" style=""box-sizing: border-box; border-style: none; border-width: 0px; height: 531px; max-width: 100%; vertical-align: top; position: relative; cursor: pointer; margin: 5px auto; display: block; color: rgb(91, 91, 91); font-family: &quot;Open Sans&quot;; font-size: 16px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: rgb(255, 255, 255); text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; width: 531px;""></figure></div><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">​<br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p>",
1.10 Breastmilk and Formula,Selecting the Correct Formula,"<p><span style=""font-size: 16px"">The formula industry is very tightly regulated, meaning formula content does not differ greatly between brands. Some brands prioritize sourcing organic ingredients, while others focus on local sourcing. Some formulas are cow-milk based, while others use soy, rice, or other animal sources. Some are partially or extensively hydrolyzed, meaning the proteins are partly broken down before feeding, allowing for easier digestion in babies with gut intolerances—this should be guided by a doctor.</span></p><p><span style=""font-size: 16px"">The important considerations when selecting the correct formula include monitoring your baby’s response (in their poo, skin, temperament, and weight gain) and avoiding frequent brand changes before your baby has had a chance to adjust to the new food source.</span></p><p><br></p><div class=""se-component se-image-container __se__float-none""><figure><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/829/0f8/4ea/shutterstock_554077681.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""shutterstock_554077681.jpg"" data-file-size=""0"" data-origin="","" style=""""></figure></div>",
1.10 Breastmilk and Formula,Breastmilk Storage Guidelines,"<p><br></p><p style=""line-height: 1.38;text-align: left""><span style=""font-size: 14px;font-family: Verdana;color: rgb(31, 31, 31);background-color: transparent"">⁠⁠It’s OK to cry over spilt milk.&nbsp;Pumping is hard work and accidents happen. Pumps leak, bags break, bottles tip (particularly when they are top heavy with a flange on top). </span></p><p style=""line-height: 1.38;text-align: left""><span style=""background-color: transparent;color: rgb(31, 31, 31);font-family: Verdana;font-size: 14px""><br></span></p><p style=""line-height: 1.38;text-align: left""><span style=""background-color: transparent;color: rgb(31, 31, 31);font-family: Verdana;font-size: 14px"">Make sure anyone in your home handling breast milk is aware of just how much effort that liquid gold takes to make, so they handle it with care.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 14px;font-family: Verdana""><br></span></p><p style=""line-height: 1.38;text-align: left""><span style=""font-size: 14px;font-family: Verdana;color: rgb(31, 31, 31);background-color: transparent"">PRO TIP:&nbsp;Remember to congratulate whomever pumped this milk - they are working overtime to nurture a baby. &nbsp;Their body is doing an incredible job!</span></p><p style=""line-height: 1.38;text-align: left""><br></p><div class=""se-component se-image-container __se__float- __se__float-none""><figure><a download=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1742251516523x486945687757772000/DrGolly-Breast%20milk%20storage%20guide.pdf?_gl=1*s761zj*_gcl_aw*R0NMLjE3NDIxODI1OTAuQ2owS0NRanc3ZG0tQmhDb0FSSXNBTEZrNHY4cDFUWVV1eXhVNXNhQVFpNkppQ3E3RDgwRzJteUF3bDJGSFdWV2NvNlNUWmxiWXpSTVNIb2FBaFp3RUFMd193Y0I.*_gcl_au*MTU4MjQ3MjU2Mi4xNzM0ODIwNjg0*_ga*OTM0MzI3MjIwLjE3MjQxMDY5OTA.*_ga_BFPVR2DEE2*MTc0MjI1MDQ2OC40NC4xLjE3NDIyNTE1MDEuNTguMC4w"" target=""_blank"" href=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1742251516523x486945687757772000/DrGolly-Breast%20milk%20storage%20guide.pdf?_gl=1*s761zj*_gcl_aw*R0NMLjE3NDIxODI1OTAuQ2owS0NRanc3ZG0tQmhDb0FSSXNBTEZrNHY4cDFUWVV1eXhVNXNhQVFpNkppQ3E3RDgwRzJteUF3bDJGSFdWV2NvNlNUWmxiWXpSTVNIb2FBaFp3RUFMd193Y0I.*_gcl_au*MTU4MjQ3MjU2Mi4xNzM0ODIwNjg0*_ga*OTM0MzI3MjIwLjE3MjQxMDY5OTA.*_ga_BFPVR2DEE2*MTc0MjI1MDQ2OC40NC4xLjE3NDIyNTE1MDEuNTguMC4w"" data-image-link=""image""><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/df3/714/923/1729217922455.png"" data-file-name=""1729217922455.png"" data-file-size=""0"" origin-size=""800,565"" data-origin="","" data-size="","" data-rotate="""" alt="""" data-image-link=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1742251516523x486945687757772000/DrGolly-Breast%20milk%20storage%20guide.pdf?_gl=1*s761zj*_gcl_aw*R0NMLjE3NDIxODI1OTAuQ2owS0NRanc3ZG0tQmhDb0FSSXNBTEZrNHY4cDFUWVV1eXhVNXNhQVFpNkppQ3E3RDgwRzJteUF3bDJGSFdWV2NvNlNUWmxiWXpSTVNIb2FBaFp3RUFMd193Y0I.*_gcl_au*MTU4MjQ3MjU2Mi4xNzM0ODIwNjg0*_ga*OTM0MzI3MjIwLjE3MjQxMDY5OTA.*_ga_BFPVR2DEE2*MTc0MjI1MDQ2OC40NC4xLjE3NDIyNTE1MDEuNTguMC4w"" data-proportion=""true"" data-align=""none"" data-percentage=""auto,auto"" style=""border-style: none; vertical-align: bottom; cursor: pointer; display: inline-block; margin-left: 5px; margin-right: 5px; color: rgb(31, 31, 31); font-family: Arial, sans-serif; font-size: 14.6667px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; white-space-collapse: preserve;""></a></figure></div><p><br></p><p><span style=""font-family: Verdana;font-size: 14px"">Download your printable copy of Breastmilk Storage Guidelines </span><a download=""HERE."" target=""_blank"" href=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1742251516523x486945687757772000/DrGolly-Breast%20milk%20storage%20guide.pdf?_gl=1*s761zj*_gcl_aw*R0NMLjE3NDIxODI1OTAuQ2owS0NRanc3ZG0tQmhDb0FSSXNBTEZrNHY4cDFUWVV1eXhVNXNhQVFpNkppQ3E3RDgwRzJteUF3bDJGSFdWV2NvNlNUWmxiWXpSTVNIb2FBaFp3RUFMd193Y0I.*_gcl_au*MTU4MjQ3MjU2Mi4xNzM0ODIwNjg0*_ga*OTM0MzI3MjIwLjE3MjQxMDY5OTA.*_ga_BFPVR2DEE2*MTc0MjI1MDQ2OC40NC4xLjE3NDIyNTE1MDEuNTguMC4w""><span style=""font-family: Verdana;font-size: 14px"">HERE.</span></a><span style=""font-family: Verdana;font-size: 14px"">​</span></p><p style=""line-height: 1.38;text-align: left""><br></p>",
1.10 Breastmilk and Formula,Breastmilk Storage Guidelines,"<div class=""se-component se-image-container __se__float-none""><figure><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/dc9/4b9/60c/1729219956189.png"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""1729219956189.png"" data-file-size=""0"" data-origin="","" style=""""></figure></div>",
1.10 Breastmilk and Formula,Breastmilk Storage Guidelines,"<p><br></p><div class=""se-component se-image-container __se__float-none""><figure><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/8af/0b8/125/1729220178056.png"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""1729220178056.png"" data-file-size=""0"" data-origin="","" style=""""></figure></div><p><span style=""font-size: 16px"">Pumping is hard work and accidents happen. Pumps leak, bags break, bottles tip (particularly when they are top heavy with a flange on top). Make sure anyone in your home handling breast milk is aware of just how much effort that liquid gold takes to make, so they handle it with care.</span></p><p><span style=""font-size: 16px""><strong>PRO TIP:</strong><br>Remember to congratulate whomever pumped this milk - they are working overtime to nurture a baby. Their body is doing an incredible job!</span></p>",
1.10 Breastmilk and Formula,Breastmilk Storage Guidelines,"<div class=""se-component se-image-container __se__float-none""><figure><a download=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1742251516523x486945687757772000/DrGolly-Breast%20milk%20storage%20guide.pdf?_gl=1*s761zj*_gcl_aw*R0NMLjE3NDIxODI1OTAuQ2owS0NRanc3ZG0tQmhDb0FSSXNBTEZrNHY4cDFUWVV1eXhVNXNhQVFpNkppQ3E3RDgwRzJteUF3bDJGSFdWV2NvNlNUWmxiWXpSTVNIb2FBaFp3RUFMd193Y0I.*_gcl_au*MTU4MjQ3MjU2Mi4xNzM0ODIwNjg0*_ga*OTM0MzI3MjIwLjE3MjQxMDY5OTA.*_ga_BFPVR2DEE2*MTc0MjI1MDQ2OC40NC4xLjE3NDIyNTE1MDEuNTguMC4w"" target=""_blank"" href=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1742251516523x486945687757772000/DrGolly-Breast%20milk%20storage%20guide.pdf?_gl=1*s761zj*_gcl_aw*R0NMLjE3NDIxODI1OTAuQ2owS0NRanc3ZG0tQmhDb0FSSXNBTEZrNHY4cDFUWVV1eXhVNXNhQVFpNkppQ3E3RDgwRzJteUF3bDJGSFdWV2NvNlNUWmxiWXpSTVNIb2FBaFp3RUFMd193Y0I.*_gcl_au*MTU4MjQ3MjU2Mi4xNzM0ODIwNjg0*_ga*OTM0MzI3MjIwLjE3MjQxMDY5OTA.*_ga_BFPVR2DEE2*MTc0MjI1MDQ2OC40NC4xLjE3NDIyNTE1MDEuNTguMC4w"" data-image-link=""image""><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/502/62d/cb8/1729220268322.png"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""1729220268322.png"" data-file-size=""0"" data-origin="","" data-image-link=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1742251516523x486945687757772000/DrGolly-Breast%20milk%20storage%20guide.pdf?_gl=1*s761zj*_gcl_aw*R0NMLjE3NDIxODI1OTAuQ2owS0NRanc3ZG0tQmhDb0FSSXNBTEZrNHY4cDFUWVV1eXhVNXNhQVFpNkppQ3E3RDgwRzJteUF3bDJGSFdWV2NvNlNUWmxiWXpSTVNIb2FBaFp3RUFMd193Y0I.*_gcl_au*MTU4MjQ3MjU2Mi4xNzM0ODIwNjg0*_ga*OTM0MzI3MjIwLjE3MjQxMDY5OTA.*_ga_BFPVR2DEE2*MTc0MjI1MDQ2OC40NC4xLjE3NDIyNTE1MDEuNTguMC4w"" origin-size=""1600,1131"" style=""""></a></figure></div><p><br></p><p>Download a printable copy of my Breastmilk Storage Guideline <a download=""HERE."" target=""_blank"" href=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1742251516523x486945687757772000/DrGolly-Breast%20milk%20storage%20guide.pdf?_gl=1*s761zj*_gcl_aw*R0NMLjE3NDIxODI1OTAuQ2owS0NRanc3ZG0tQmhDb0FSSXNBTEZrNHY4cDFUWVV1eXhVNXNhQVFpNkppQ3E3RDgwRzJteUF3bDJGSFdWV2NvNlNUWmxiWXpSTVNIb2FBaFp3RUFMd193Y0I.*_gcl_au*MTU4MjQ3MjU2Mi4xNzM0ODIwNjg0*_ga*OTM0MzI3MjIwLjE3MjQxMDY5OTA.*_ga_BFPVR2DEE2*MTc0MjI1MDQ2OC40NC4xLjE3NDIyNTE1MDEuNTguMC4w"">HERE.</a>​</p><p><br></p>",
1.11 Maternal Nutrition,What To Eat,"<p><br></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">When you’re breastfeeding, your body needs extra nutrients. That’s because your body is working harder to make breastmilk full of nutrients for your baby. &nbsp;</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">Producing breastmilk requires energy. Some women find they need to increase their normal diet by 50% or an extra 400-500 calories per day, to make enough milk to meet their baby’s needs; extra body fat gained during pregnancy is one way of providing mothers with the necessary calories to make this milk.&nbsp;</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">For mothers keen to reduce weight after delivery, it’s important to consider a gradual return to pre-birth weight, as any sudden weight loss can result in a dramatic reduction in milk production, associated with the sudden loss of body fat.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>The recommendations for daily intake in breastfeeding mothers are:<br></strong>● vegetables – 7½ serves a day<br>● fruit – 2 serves a day<br>● grain foods – 9 serves a day<br>● protein – 2½ serves a day<br>● dairy or calcium-enriched products – 2½ serves a day</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">If you’re eating a healthy and varied diet, you will get enough of most nutrients, but there are a few to be specifically aware of:</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>Calcium:&nbsp;</strong>Calcium makes up an important part of breastmilk and is very important for your baby’s bone development. You get calcium from:<br>● dairy products like milk, cheese and yoghurt (be aware of possible cow milk intolerance in babies)<br>● calcium-enriched products, like some brands of soy milk<br>● fish with edible bones, like sardines and salmon<br>● tofu<br>● some green leafy vegetables like kale and bok choy<br>● white beans, figs, sesame seeds, almonds, broccoli, seaweed</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>Iodine:&nbsp;</strong>Your baby depends on your breast milk as a source of iodine , which keeps the brain and nervous system developing. You get iodine from dairy products, seafood, iodised salt, potatoes, cheese, cranberries, tuna, shellfish and dried prunes. Iodine deficiency in breastfeeding mothers can be a risk for babies. So when you’re breastfeeding, it’s recommended that you take an iodine supplement of 150 micrograms (μg) per day. If you have any pre-existing thyroid problems, check with your doctor before taking a supplement.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br><strong>Vitamin B12:&nbsp;</strong>Vitamin B12 is very important for your baby’s developing nervous system. You get vitamin B12 from meat, fish (especially shellfish, tuna), eggs, milk, yoghurt, brewer’s yeast and fortified breakfast cereals. Those on vegetarian/vegan diets or taking antibiotics or anti-inflammatories may have reduced vitamin B12 levels.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>Vitamin D:&nbsp;</strong>Vitamin D helps your baby absorb calcium, which your baby will need for bone growth and development. Your body makes most of the vitamin D you need from exposure to sunlight. There are also small amounts of Vitamin D in oily fish, fish oils supplements, egg yolks, mushrooms, milk, ricotta cheese and butter. You might be at risk of vitamin D deficiency if you’re dark-skinned, keep all of your skin covered or rarely go outdoors. If you’re deficient, you and your baby might need to take a vitamin D supplement.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>Iron:</strong>Iron helps the body make haemoglobin, the major part of red blood cells, helping us deliver oxygen around the body. When iron deficient - or anaemic - you may feel lower energy levels. To increase this, eat more brown rice, soybean, oysters, chicken, beef, turkey, lentils, tofu, nuts, seeds and green leafy vegetables. To further maximise your iron absorption, when eating these foods, add some vitamin C (from citrus fruits) and be sure to avoid excess dairy - as this reduces iron absorption.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>Zinc:&nbsp;</strong>Zinc is a crucial ingredient in our immune system. It can be found in red meat, poultry, beans, nuts, oats, seeds and seafood.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>Omega 3 fatty acids:&nbsp;</strong>These occur naturally in flax seeds, chia seeds, salmon, walnuts, tofu, oysters, canola oil, brussel sprouts and avocados.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>Vegan and vegetarian mothers&nbsp;</strong>may experience lower milk supply or fatigue due to reduced B12 intake. Calcium, protein and iron levels may also be reduced. To help the body absorb iron, add foods high in vitamin C such as citrus fruits. For protein, consider plant sources, such as soy products and meat substitutes, legumes, lentils, nuts, seeds, and whole grains. For calcium, include dairy products (unless vegan), dark green vegetables, calcium-enriched and fortified products, such as juices, cereals, soy milk, soy yoghurt and tofu. There is no need to eat against your beliefs, but have your nutrient levels checked and supplement these if any are low - it is not only important for your baby - it’s also crucial for you and your energy levels.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>Fluids:&nbsp;</strong>Water intake is crucial, and never more so than when breastfeeding. Most mothers will attest to insatiable thirst during the breastfeeding period and this is not surprising - given the water content of breastmilk! The recommended ‘2 litres per day’ is a good starting point, but drink more if you remain thirsty. Be careful not to drink excessive amounts; excessive water intake does not result in more milk production and can worsen oedema (swelling). Avoid soft drinks, fruit juices, flavoured milk, flavoured water, sports drinks and energy drinks too.</span></p>",
1.11 Maternal Nutrition,What To Eat,"<p><span style=""font-size: 16px"">Whether you’re breastfeeding or formula feeding, it's very important to look after yourself with a new baby. Your body will be transitioning back to its pre-pregnant state and also recovering from the birth. Ensure you are eating a well-varied diet and drinking plenty of water.</span></p><p><span style=""font-size: 16px"">If you are breastfeeding, your body needs extra nutrients. That’s because your body is working harder to make breastmilk full of nutrients for your baby.</span></p><p><span style=""font-size: 16px""><strong><em>Producing breastmilk requires energy.</em></strong> Some women find they need to increase their normal diet by 50% or an extra 400-500 calories per day to make enough milk to meet their baby’s needs. Extra body fat gained during pregnancy is one way of providing mothers with the necessary calories to make this milk. For mothers keen to reduce weight after delivery, it’s important to consider a gradual return to pre-birth weight, as any sudden weight loss can result in a dramatic reduction of milk production, associated with the sudden loss of body fat.</span></p><p><span style=""font-size: 16px""><strong><em>The recommendations for daily intake in breastfeeding mothers are:</em></strong></span></p><ul><li style=""font-size: 16px"">Vegetables – 7½ serves a day</li><li style=""font-size: 16px"">Fruit – 2 serves a day</li><li style=""font-size: 16px"">Grain foods – 9 serves a day</li><li style=""font-size: 16px"">Protein – 2½ serves a day</li><li style=""font-size: 16px"">Dairy or calcium-enriched products – 2½ serves a day</li></ul><p><span style=""font-size: 16px"">If you’re eating a healthy and varied diet, you will get enough of most nutrients. But there are a few to be specifically aware of:</span></p><p><span style=""font-size: 16px""><strong>Calcium:</strong> Calcium makes up an important part of breastmilk and is very important for your baby’s bone development. You get calcium from:</span></p><ul><li style=""font-size: 16px"">Dairy products like milk, cheese and yoghurt (be aware of possible cow milk intolerance in babies)</li><li style=""font-size: 16px"">Calcium-enriched products like some brands of soy milk</li><li style=""font-size: 16px"">Fish with edible bones, like sardines and salmon</li><li style=""font-size: 16px"">Tofu</li><li style=""font-size: 16px"">Some green leafy vegetables like kale and bok choy</li><li style=""font-size: 16px"">White beans, figs, sesame seeds, almonds, broccoli, seaweed</li></ul><p><span style=""font-size: 16px""><strong>Iodine:</strong> Your baby depends on your breast milk as a source of iodine, which keeps the brain and nervous system developing. You get iodine from:</span></p><ul><li style=""font-size: 16px"">Dairy products, seafood, iodised salt and bread made with iodised salt</li><li style=""font-size: 16px"">Potatoes, cheese, cranberries, tuna, shellfish, dried prunes</li></ul><p><span style=""font-size: 16px"">Iodine deficiency in breastfeeding mothers can be a risk for babies. So when you’re breastfeeding, it’s recommended that you take an iodine supplement of 150 micrograms (μg) per day. If you have any pre-existing thyroid problems, check with your doctor before taking a supplement.</span></p><p><span style=""font-size: 16px""><strong>Vitamin B12:</strong> Vitamin B12 is very important for your baby’s developing nervous system. You get vitamin B12 from:</span></p><ul><li style=""font-size: 16px"">Meat, fish (especially shellfish, tuna), eggs, milk, yoghurt, brewer’s yeast, and fortified breakfast cereals</li></ul><p><span style=""font-size: 16px"">Those on vegetarian/vegan diets or taking antibiotics or anti-inflammatories may have reduced B12.</span></p><p><span style=""font-size: 16px""><strong>Vitamin D:</strong> Vitamin D helps your baby absorb calcium, which your baby will need for bone growth and development. Your body makes most of the vitamin D you need from exposure to sunlight. There are also small amounts of Vitamin D in:</span></p><ul><li style=""font-size: 16px"">Oily fish, fish liver oils, egg yolks, mushrooms, milk, ricotta cheese, and butter</li></ul><p><span style=""font-size: 16px"">You might be at risk of vitamin D deficiency if you’re dark-skinned, if you keep all of your skin covered, or if you rarely go outdoors. If you’re deficient, you and your baby might need to take a vitamin D supplement.</span></p><p><span style=""font-size: 16px""><strong>Iron:</strong> Iron helps the body make haemoglobin, the major part of red blood cells, helping us deliver oxygen around the body. When iron deficient – or anaemic – you may feel lower energy levels. To increase this, eat more:</span></p><ul><li style=""font-size: 16px"">Brown rice, soybean, oysters, chicken, beef, turkey, lentils, tofu, nuts, seeds, and green leafy vegetables</li></ul><p><span style=""font-size: 16px"">To further maximise your iron absorption, when eating these foods, add some vitamin C (from citrus fruits) and be sure to avoid excess dairy, as this reduces iron absorption.</span></p><p><span style=""font-size: 16px""><strong>Zinc:</strong> Zinc is a crucial ingredient in our immune system. It can be found in:</span></p><ul><li style=""font-size: 16px"">Red meat, poultry, beans, nuts, oats, seeds, and seafood</li></ul><p><span style=""font-size: 16px""><strong>Omega 3 fatty acids:</strong> These occur naturally in:</span></p><ul><li style=""font-size: 16px"">Flax seeds, chia seeds, salmon, walnuts, tofu, oysters, canola oil, Brussels sprouts, and avocados</li></ul><p><span style=""font-size: 16px""><strong>Vegan and vegetarian mothers</strong> may experience lower milk supply or fatigue due to reduced B12 intake. Calcium, protein, and iron levels may also be reduced. To help the body absorb iron, choose foods high in vitamin C such as citrus fruits. For protein, consider plant sources such as:</span></p><ul><li style=""font-size: 16px"">Soy products and meat substitutes, legumes, lentils, nuts, seeds, and whole grains</li></ul><p><span style=""font-size: 16px"">For calcium, include:</span></p><ul><li style=""font-size: 16px"">Dairy products, dark green vegetables, calcium-enriched and fortified products such as juices, cereals, soy milk, soy yogurt, and tofu</li></ul><p><span style=""font-size: 16px"">There is no need to eat against your beliefs, but have your nutrient levels checked and supplement these if any are low – it is not only important for your baby but also crucial for you and your energy levels.</span></p><p><span style=""font-size: 16px""><strong>Fluids:</strong> Water intake is crucial, and never more so than when breastfeeding. Most mothers will attest to insatiable thirst during the breastfeeding period, and this is not surprising given the water content of breastmilk! The recommended ‘2 litres per day’ is a good starting point, but drink more if you remain thirsty. Be careful not to drink excessive amounts; excessive water intake does not result in more milk production and can worsen oedema (swelling).</span></p><p><span style=""font-size: 16px"">Avoid soft drinks, fruit juices, flavoured milk, flavoured water, sports drinks, and energy drinks.</span></p>",
1.11 Maternal Nutrition,What Not To Eat,"<p><br></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">The Australian Breastfeeding Association recommends that no particular foods be excluded from a breastfeeding mother’s diet, unless advised by a doctor. Research suggests that excluding particular allergenic foods from your diet does not help in reducing childhood allergies.&nbsp;</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">With any sensible diet, limit your intake of sugar and highly processed foods, focusing on high quality fresh fruits, vegetables, red meat, poultry and wholegrains. These will give you the right type of sustained energy needed for having a newborn and breastfeeding a baby.&nbsp;</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br>Everything that<em>you</em>eat, your baby is exposed to. Some babies are sensitive to certain foods, like milk, garlic or broccoli, whereas others can tolerate their mother eating any and every food type.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">If you’re drinking/eating a lot of cow’s milk, legumes, ruffage, cured meats, fermented products this could upset your baby - remember stuff that makes you gassy will make your baby gassy.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">If you notice a change in your baby’s behaviour, bowel actions or skin in the days following a change in your diet, consider that they may be sensitive to something you ate.</span></p>",
1.11 Maternal Nutrition,What Not To Eat,"<p><span style=""font-size: 16px"">The Australian Breastfeeding Association recommends that no particular foods be excluded from a breastfeeding mother’s diet. Research suggests that excluding particular allergenic foods from your diet does not help in reducing childhood allergies. With any sensible diet, limit your intake of sugar and highly processed foods, focusing on good quality, fresh fruits, vegetables, red meat, poultry, and whole grains. These will give you the right type of sustained energy needed with having a newborn and breastfeeding a baby. Everything that you eat, your baby will be exposed to. Some babies are sensitive to certain foods, like milk, garlic, or broccoli, whereas others can tolerate their mother eating any and every food type. If you notice a change in your baby’s behaviour, bowel actions, or skin in the days following a change in your diet, consider that they may be sensitive to something you ate.</span></p>",
1.11 Maternal Nutrition,Caffeine,"<p><br></p><p style=""line-height: 1.375rem;text-align: left"">☕️ <span style=""font-size: 16px"">I hate focusing on this too much as breastfeeding is one of the toughest jobs out there - and mums need their coffee more than anyone!&nbsp;</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">**Please note: This section is not intended to stop your morning coffee ritual***<br><br>⚠️ BUT if you have an unsettled baby who is struggling with sleep it’s important to understand the impact of CAFFEINE &amp; BREASTMILK</span></p><p><br></p><p><span style=""font-size: 16px"">Newborn babies are highly sensitive to caffeine. Your newborn baby will take a significant amount of time to process the caffeine that comes through your breastmilk – which can remain in your system for up to 50 hours. The type of effect caffeine can have on babies includes jitteriness, more unsettled behaviour, difficulty sleeping, increased colicky behaviour, and general unhappiness. Be aware that caffeine isn’t just in coffee but also found in tea, chocolate, cola, and energy drinks. The amount of caffeine that transfers into your breastmilk is about 1% of what is consumed and reaches a peak 60 minutes after consumption. It is recommended not to consume more than 200mg of caffeine per day.</span></p><p><span style=""font-size: 16px""><strong>Caffeine content in common drinks and food:</strong></span></p><p><span style=""font-size: 16px""><strong>Drink/food = Caffeine level (mg)</strong></span></p><ul><li style=""font-size: 16px"">Espresso coffee = 145 mg / 50 mL shot</li><li style=""font-size: 16px"">Formulated caffeinated drinks / ‘Energy’ Drinks = up to 80 mg / 250 mL can</li><li style=""font-size: 16px"">Instant coffee (1 teaspoon / cup) = 60–80 mg / 250 mL cup</li><li style=""font-size: 16px"">Tea = 10–50 mg / 250 mL cup</li><li style=""font-size: 16px"">Coca Cola = up to 54 mg / 375 mL cup</li><li style=""font-size: 16px"">Milk chocolate = 20 mg / 100 g bar</li></ul>",
